lat,lon,DNI_1,DNI_2,DNI_3,DNI_4,DNI_5,DNI_6,DNI_7,DNI_8,DNI_9,DNI_10,DNI_11,DNI_12,GHI_1,GHI_2,GHI_3,GHI_4,GHI_5,GHI_6,GHI_7,GHI_8,GHI_9,GHI_10,GHI_11,GHI_12,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,W_1,W_2,W_3,W_4,W_5,W_6,W_7,W_8,W_9,W_10,W_11,W_12
-34.5,157.5,5.9902,5.4348,5.0261,4.4789,3.8138,3.2011,3.5117,4.1246,4.9018,5.2387,5.3899,5.6789,6.9362,6.1068,4.9913,3.7469,2.7382,2.2039,2.4444,3.269,4.5334,5.6338,6.415,6.8844,21.78,22.39,21.85,20.62,18.95,17.56,16.63,16.34,16.8,17.54,19.03,20.31,7.79,7.6,7.32,7.76,8.57,9.11,9.29,9.24,8.97,8.54,8.35,7.98
-33.5,157.5,5.9131,5.6683,5.046,4.6879,4.038,3.3538,3.6838,4.2984,5.119,5.4948,5.4792,5.6858,6.923,6.2201,5.0597,3.9163,2.8771,2.3177,2.5764,3.4061,4.6555,5.7809,6.5016,6.893,22.33,22.9,22.38,21.11,19.41,18.04,17.12,16.87,17.33,18.08,19.55,20.91,7.7,7.51,7.2,7.56,8.25,8.91,9.11,8.98,8.75,8.32,8.17,7.85
-32.5,157.5,5.8793,5.713,5.1854,4.7815,4.2554,3.455,3.816,4.4436,5.3062,5.5901,5.6585,5.803,6.9408,6.2794,5.1845,4.0428,3.0466,2.4194,2.6868,3.5508,4.8202,5.8963,6.6526,7.0075,22.74,23.27,22.77,21.59,19.83,18.53,17.58,17.28,17.78,18.56,19.97,21.43,7.56,7.42,7.12,7.41,7.93,8.67,8.82,8.66,8.5,8.05,7.95,7.71
-31.5,157.5,6.1157,5.9042,5.4739,4.9824,4.4755,3.6398,4.0392,4.7539,5.5198,5.7727,5.9345,5.9594,7.0666,6.39,5.3318,4.169,3.1817,2.5478,2.8186,3.7188,4.9738,5.9762,6.7546,7.0709,23.1,23.57,23.1,21.98,20.27,19.04,18.03,17.67,18.21,18.99,20.34,21.84,7.39,7.37,7.08,7.3,7.63,8.41,8.51,8.31,8.18,7.74,7.68,7.54
-30.5,157.5,6.1721,6.0007,5.5109,5.1324,4.5324,3.8071,4.1832,4.9534,5.635,5.8831,6.0898,6.0564,7.1076,6.4762,5.4094,4.3087,3.2974,2.6741,2.9405,3.8683,5.0945,6.0859,6.8954,7.1424,23.44,23.87,23.41,22.33,20.69,19.46,18.47,18.11,18.67,19.41,20.75,22.23,7.23,7.38,7.11,7.22,7.44,8.18,8.21,7.97,7.82,7.45,7.39,7.33
-29.5,157.5,6.2126,5.8858,5.6218,5.2469,4.6649,3.9478,4.4047,5.1545,5.8337,5.9544,6.2162,6.157,7.0862,6.4634,5.5325,4.4311,3.4181,2.7893,3.0847,4.0123,5.2351,6.1582,7.0068,7.17,23.71,24.19,23.7,22.67,21.06,19.82,18.87,18.5,19.06,19.83,21.14,22.56,7.05,7.45,7.18,7.15,7.26,7.96,7.93,7.66,7.5,7.22,7.15,7.18
-28.5,157.5,6.1793,5.8985,5.7204,5.3345,4.7791,3.8892,4.5751,5.2906,6.0389,6.1238,6.4548,6.265,7.085,6.4534,5.6287,4.5617,3.5474,2.8649,3.2393,4.1558,5.3755,6.2681,7.0961,7.163,23.97,24.48,23.94,22.94,21.45,20.22,19.23,18.9,19.42,20.2,21.5,22.89,6.97,7.56,7.29,7.21,7.15,7.75,7.65,7.38,7.2,7.04,6.97,7.03
-27.5,157.5,6.246,5.9119,5.622,5.4358,4.8818,4.0145,4.7707,5.4898,6.251,6.2645,6.6427,6.2542,7.1462,6.4762,5.6304,4.6558,3.6511,2.971,3.3888,4.3022,5.5315,6.4087,7.2365,7.1647,24.27,24.79,24.28,23.31,21.79,20.57,19.55,19.27,19.77,20.58,21.86,23.24,7.03,7.67,7.48,7.37,7.05,7.6,7.39,7.1,6.92,6.85,6.78,6.9
-26.5,157.5,6.2902,5.8003,5.5054,5.4586,4.933,4.212,5.0014,5.7614,6.4692,6.3523,6.8834,6.3581,7.187,6.4918,5.6414,4.7316,3.744,3.1061,3.5429,4.469,5.6683,6.5045,7.3464,7.2146,24.58,25.18,24.66,23.66,22.15,20.89,19.9,19.59,20.1,20.99,22.17,23.57,7.14,7.7,7.69,7.5,6.96,7.49,7.16,6.84,6.61,6.72,6.59,6.84
-25.5,157.5,6.3355,5.7982,5.4516,5.4864,5.016,4.3831,5.0647,5.8891,6.557,6.4262,6.9523,6.4613,7.2288,6.5155,5.6479,4.8,3.8522,3.2318,3.6326,4.5893,5.7672,6.5983,7.3946,7.272,24.92,25.53,25.01,23.97,22.45,21.22,20.26,19.9,20.46,21.37,22.55,23.92,7.26,7.76,7.86,7.6,6.95,7.4,6.97,6.54,6.37,6.65,6.54,6.8
