lat,lon,DNI_1,DNI_2,DNI_3,DNI_4,DNI_5,DNI_6,DNI_7,DNI_8,DNI_9,DNI_10,DNI_11,DNI_12,GHI_1,GHI_2,GHI_3,GHI_4,GHI_5,GHI_6,GHI_7,GHI_8,GHI_9,GHI_10,GHI_11,GHI_12,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,W_1,W_2,W_3,W_4,W_5,W_6,W_7,W_8,W_9,W_10,W_11,W_12
-23.5,-68.2,9.9401,9.3178,9.6156,8.7362,7.8523,7.3754,7.4844,8.2658,9.5026,10.1986,10.8245,10.6135,8.8222,8.1857,7.5259,6.287,5.1182,4.5214,4.7786,5.8116,7.1364,8.3287,9.1409,9.2717,18.37,17.92,17.11,14.79,11.63,10.32,9.76,11.29,13.08,15.14,16.66,17.78,4.63,4.47,4.48,4.42,4.63,4.77,4.97,4.89,5.02,4.74,4.69,4.7
27.0,2.5,6.1198,5.6714,5.5642,5.0227,4.7256,5.2694,5.8704,5.8037,4.9402,5.1926,5.6782,5.4641,4.391,5.165,6.2244,6.961,7.3716,7.7278,7.8182,7.3013,6.2856,5.3354,4.4938,3.9898,12.83,15.72,20.77,25.83,30.91,35.4,37.62,36.79,33.69,27.58,19.45,14.29,6.89,6.99,6.96,7.04,7.45,7.19,8.13,7.76,6.81,6.83,6.63,6.97
24.0,45.0,5.0227,5.039,4.9262,4.5845,5.0182,6.4738,6.3151,6.013,5.9705,6.2038,5.1194,5.0808,4.4309,5.3071,6.1848,6.7032,7.4107,8.0474,7.8175,7.3728,6.8134,5.9393,4.6013,4.1885,14.11,16.93,21.21,25.97,31.01,33.43,34.73,34.53,31.46,26.1,20.23,15.43,6.47,6.79,6.78,6.63,5.94,6.16,6.31,6.03,5.65,5.71,6.31,6.31
33.5,-112.0,5.8397,6.3134,7.6092,8.8742,9.7226,10.2931,7.506,7.4947,7.7798,7.5845,6.5136,5.413,3.3785,4.3231,5.8332,7.2586,8.1648,8.5037,7.3831,6.8537,6.0878,4.9894,3.7514,3.0372,11.41,12.87,16.84,20.61,25.92,31.96,33.91,32.96,29.97,23.42,16.82,10.98,4.79,4.41,4.42,4.73,4.52,4.4,3.94,3.53,4.07,4.39,4.72,4.59
-22.0,118.0,7.2043,7.164,7.0548,7.0073,6.9307,6.7193,7.3166,8.5337,9.0506,8.9887,9.1286,8.6196,7.4911,7.1378,6.4692,5.6789,4.8178,4.356,4.6901,5.8102,6.8904,7.6471,8.1235,8.0669,31.54,30.33,28.91,26.51,21.37,17.57,17.31,19.46,23.5,28.47,30.75,32.44,5.77,5.74,5.86,5.85,6.43,6.91,6.56,6.6,6.7,6.72,6.5,6.01
37.4,-5.0,4.3054,4.6349,4.9001,4.968,6.1553,7.5636,8.2195,7.4184,5.777,4.8979,4.3858,4.2211,2.5615,3.3936,4.5574,5.6662,6.8299,7.7734,7.8967,7.0037,5.3938,3.8974,2.7734,2.3153,8.47,9.59,12.31,15.2,19.53,25.09,28.59,28.66,24.09,18.9,12.51,9.43,4.76,4.95,5.19,4.9,4.46,4.27,4.26,4.12,3.99,4.59,4.84,4.84
27.0,73.0,5.0897,5.7492,6.2522,6.0936,5.2082,4.1746,3.4517,4.0646,5.3482,5.9287,5.1026,5.2824,4.0306,5.0218,6.1682,6.9962,7.211,6.7615,6.1186,5.905,5.8812,5.3342,4.2358,3.8201,14.87,18.59,24.72,30.61,34.44,35.21,33.1,31.0,30.29,27.51,21.78,16.59,4.7,4.78,4.57,4.92,6.24,6.52,5.96,5.26,4.76,4.0,4.15,4.56
53.0,10.0,1.0594,1.7978,2.825,4.2626,4.1851,4.1582,3.9122,3.5016,3.3679,2.3203,1.3078,0.9569,0.5894,1.2809,2.5013,4.159,5.0882,5.4446,5.1062,4.2689,3.1174,1.7062,0.7498,0.4426,0.42,1.13,4.1,8.93,13.14,16.47,18.47,18.12,14.42,9.72,5.12,1.77,7.95,7.67,7.37,6.52,6.27,6.03,5.92,5.96,6.41,7.05,7.02,7.67
